Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V)
134.35,1.95E-11,30.006,-30.01,85.65,7.64E-11,30.023,-30.02,35.1,3.21E-10,30.024,-30.02
161.7,1.84E-11,28.004,-28,91.5,7.36E-11,27.995,-27.99,40.5,3.16E-10,28.064,-28.06
192.95,1.70E-11,26.006,-26.01,95.8,7.09E-11,25.926,-25.93,45.55,3.09E-10,26.633,-26.63
227.9,1.66E-11,23.998,-24,101.55,6.74E-11,24.031,-24.03,51.6,3.03E-10,26.057,-26.06
250,1.57E-11,22.001,-22,109.55,6.41E-11,22.02,-22.02,58.15,2.87E-10,24.066,-24.07
262.95,1.49E-11,19.999,-20,115.9,6.08E-11,20.036,-20.04,60.5,2.76E-10,22.791,-22.79
285,1.40E-11,18.003,-18,123.45,5.75E-11,17.982,-17.98,63.55,2.72E-10,21.994,-21.99
305,1.33E-11,16.007,-16.01,133.45,5.42E-11,15.987,-15.99,67.3,2.59E-10,20.005,-20.01
321.8,1.22E-11,13.993,-13.99,142.15,4.82E-11,13.949,-13.95,71,2.41E-10,18.15,-18.15
335.8,1.11E-11,12.006,-12.01,149.5,4.20E-11,11.967,-11.97,74.25,2.24E-10,16.204,-16.2
344.6,9.71E-12,9.992,-9.99,159.55,3.42E-11,10.002,-10,78.5,1.93E-10,14.074,-14.07
350.95,7.81E-12,7.756,-7.76,167.2,2.57E-11,7.998,-8,83.8,1.61E-10,12.046,-12.05
358.4,6.66E-12,6.764,-6.76,176.6,1.82E-11,6.013,-6.01,90.3,1.41E-10,10.086,-10.09
365.35,6.16E-12,5.977,-5.98,184.6,8.26E-12,4,-4,93.55,1.09E-10,8.141,-8.14
378.45,4.38E-12,4.01,-4.01,192.05,1.93E-12,1.988,-1.99,97.1,9.26E-11,6.209,-6.21
388.5,1.72E-12,1.99,-1.99,198.05,2.18E-13,-0.002,0,101.45,8.68E-11,6.064,-6.06
397.65,3.96E-13,0.006,-0.01,202.25,1.27E-13,-0.125,0.12,104.2,4.66E-11,3.974,-3.97
465.45,1.62E-13,-0.103,0.1,204.85,7.45E-14,-0.205,0.21,106.1,3.74E-11,3.647,-3.65
470.9,1.43E-13,-0.202,0.2,207.45,4.43E-14,-0.305,0.31,108.7,3.17E-11,3.091,-3.09
476.45,1.41E-13,-0.311,0.31,209.65,3.38E-14,-0.402,0.4,110.25,2.21E-11,2.678,-2.68
483.1,1.10E-13,-0.406,0.41,211.7,6.24E-14,-0.508,0.51,112.15,1.62E-11,2.067,-2.07
490.15,8.64E-14,-0.506,0.51,213.1,2.28E-14,-0.619,0.62,114.25,7.99E-12,1.385,-1.38
494.25,3.89E-14,-0.626,0.63,215.5,1.26E-14,-0.709,0.71,116.75,5.21E-12,1.069,-1.07
498.15,4.26E-14,-0.696,0.7,218.3,9.77E-15,-0.806,0.81,119.3,3.11E-12,0.316,-0.32
503.7,3.19E-14,-0.803,0.8,219.65,3.78E-15,-0.947,0.95,122.7,2.84E-12,0.095,-0.09
507.5,3.02E-14,-0.905,0.91,223.3,6.71E-15,-1.007,1.01,125.25,5.47E-13,-0.45,0.45
511.35,1.90E-14,-1.004,1,226.1,1.07E-14,-1.119,1.12,126.25,5.65E-13,-0.485,0.49
514.05,2.52E-14,-1.104,1.1,227.45,-1.95E-15,-1.215,1.22,130.05,5.70E-13,-0.51,0.51
517.8,3.06E-14,-1.199,1.2,,,,,133.6,3.91E-13,-0.62,0.62
521.95,2.42E-14,-1.302,1.3,,,,,135.3,3.10E-13,-0.735,0.74
524.8,1.32E-14,-1.407,1.41,,,,,136.4,2.31E-13,-0.831,0.83
530.4,2.47E-14,-1.51,1.51,,,,,138.3,9.99E-14,-0.91,0.91
533.35,6.96E-15,-1.602,1.6,,,,,140.55,9.46E-14,-1.011,1.01
537.15,1.33E-14,-1.703,1.7,,,,,142.5,5.51E-14,-1.105,1.1
539.75,-1.28E-14,-1.803,1.8,,,,,145.95,4.57E-14,-1.206,1.21
543.7,-4.71E-14,-1.903,1.9,,,,,148.15,2.73E-14,-1.301,1.3
,,,,,,,,149.95,3.78E-14,-1.41,1.41
,,,,,,,,151.7,1.34E-14,-1.504,1.5
,,,,,,,,153.45,1.38E-14,-1.607,1.61
,,,,,,,,155.25,-1.28E-14,-1.714,1.71
,,,,,,,,157.4,-6.04E-14,-1.812,1.81
